"Num","Career","Gender","Age","Studying","Contract","Salary","Firmtype","Accgrade","Grade","Startwork","Image","Exp-gene","Exp-spec","Qual-gen","Qual-spec","Value","Satisfaction"
128,"ETS","male","29-30years","no.stud","fix.cont",">45k","priva","accnote>8","<6.5note","befor.grad","0,35","0,75","0,64","-0,41","0,99","0,09","0,82"
129,"ETS","male","29-30years","yes.stud","temp.cont","<18k","publi","accnote>8",">7.5note","after.grad","-0,31","-0,2","1,66","1,49","0,68","-0,16","-1,14"
130,"ETS","male","27-28years","no.stud","fix.cont","35k","priva","7-8accnote","<6.5note","befor.grad","1,26","0,36","1,43","0,88","0,99","1,17","0,85"
131,"ETS","male","31years+","yes.stud","fix.cont","35k","publi","accnote>8","6.5-7note","befor.grad","-1,38","-0,29","0,69","-0,29","0,79","-1,63","-0,77"
132,"ETS","female","25-26years","no.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","befor.grad","0,93","1,12","0,5","0,24","1,03","-0,01","0,67"
133,"ETS","male","25-26years","no.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","after.grad","-1,19","-2,12","0,09","-1,3","-0,68","-1,58","-1,03"
134,"ETS","male","31years+","no.stud","fix.cont","35k","publi","accnote<7","<6.5note","after.grad","0,04","0,25","0,41","0,58","-0,2","1,17","1,26"
135,"ETS","male","25-26years","no.stud","fix.cont","35k","priva","7-8accnote","<6.5note","befor.grad","0,92","-0,36","-0,74","0,64","-0,63","0,24","0,16"
136,"ETS","female","25-26years","no.stud","temp.cont","<18k","publi","accnote<7","6.5-7note","befor.grad","-0,47","-0,37","-2,04","-1,38","-1,64","-0,34","-0,72"
137,"ETS","male","25-26years","no.stud","temp.cont","<18k","priva","7-8accnote","<6.5note","befor.grad","-0,34","0,85","0,32","0,39","-0,08","-0,02","-0,38"
138,"ETS","male","25-26years","no.stud","fix.cont","<18k","priva","accnote<7","6.5-7note","after.grad","-1,12","-1,96","-2,27","-1,35","-2,5","-1,53","-2,2"
139,"ETS","male","29-30years","no.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","-0,71","-1,15","-0,79","-0,09","0,08","0,05","0,14"
140,"ETS","male","27-28years","yes.stud","fix.cont","25k","priva","accnote<7","<6.5note","befor.grad","0,62","-0,21","-0,37","0,62","0,6","0,13","0,16"
141,"ETS","male","29-30years","no.stud","fix.cont","25k","priva","accnote<7","<6.5note","after.grad","0,54","-0,21","-1,3","-0,01","0,36","-0,17","-0,64"
142,"ETS","male","31years+","no.stud","fix.cont","25k","priva","accnote<7","<6.5note","befor.grad","-1,77","-0,51","-0,05","0,86","-0,52","-2,33","-3,02"
143,"ETS","male","31years+","yes.stud","other.cont","35k","priva","accnote<7","<6.5note","befor.grad","0,71","0,99","0,64","0,64","1,23","0,37","0,46"
144,"ETS","male","25-26years","yes.stud","temp.cont","25k","priva","7-8accnote","7-7.5note","befor.grad","0,5","0,2","-1,26","-0,37","0,35","-0,14","0,9"
145,"ETS","male","27-28years","yes.stud","fix.cont",">45k","priva","accnote>8","7-7.5note","befor.grad","-0,23","-1,14","0,5","-1,58","0,16","0,24","-0,42"
146,"ETS","male","29-30years","no.stud","fix.cont","25k","priva","accnote<7","6.5-7note","after.grad","-0,97","-1,25","0,09","-0,92","-0,83","-0,37","-1,17"
147,"ETS","male","25-26years","yes.stud","fix.cont","35k","priva","accnote<7","6.5-7note","befor.grad","0,39","0,32","-0,7","0,42","-0,68","0,6","0,32"
